                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.0871,                0.97319,                 1.6184,                0.71135,                0.88444,                0.86748,                0.57414,                  1.186,                0.99317,                 1.7721,             0.00035382,             0.00035382,             0.00035382
                     79,                 1.0405,                0.97661,                 1.5752,                 0.8202,                0.83437,                0.86476,                0.59802,                 1.1576,                0.97401,                 1.7632,             0.00033967,             0.00033967,             0.00033967
                     80,                 1.0138,                0.96563,                 1.5532,                 0.7793,                0.81123,                0.86307,                0.60965,                 1.0659,                0.92673,                 1.6795,             0.00032553,             0.00032553,             0.00032553
                     81,                 1.0338,                0.97709,                 1.5585,                0.87451,                0.82538,                0.87618,                 0.6338,                 1.0524,                0.84634,                  1.636,             0.00031138,             0.00031138,             0.00031138
                     82,                 1.0203,                0.94468,                 1.5515,                0.88839,                0.77812,                0.86491,                0.60162,                 1.1824,                 0.9271,                 1.7264,             0.00029723,             0.00029723,             0.00029723
                     83,                0.99724,                0.91145,                 1.5411,                0.76931,                0.87024,                0.85721,                0.61056,                 1.1247,                0.91323,                 1.6958,             0.00028308,             0.00028308,             0.00028308
                     84,                0.99934,                0.90207,                 1.5594,                0.78733,                0.85196,                0.88238,                 0.6594,                0.99287,                0.81949,                 1.6126,             0.00026894,             0.00026894,             0.00026894
                     85,                0.99972,                0.91841,                 1.5427,                0.87764,                0.77513,                0.86313,                0.63717,                 1.0919,                0.84946,                 1.6614,             0.00025479,             0.00025479,             0.00025479
                     86,                0.97358,                0.88162,                 1.5298,                0.83973,                0.86584,                0.86001,                0.64032,                 1.1083,                0.84985,                 1.6536,             0.00024064,             0.00024064,             0.00024064
                     87,                0.96525,                0.87914,                 1.5087,                0.88619,                0.74513,                0.84589,                0.62291,                 1.0785,                0.86743,                  1.677,              0.0002265,              0.0002265,              0.0002265
                     88,                0.97618,                 0.8968,                 1.5357,                0.75779,                0.86641,                0.85632,                0.61131,                 1.1079,                0.88499,                 1.6701,             0.00021235,             0.00021235,             0.00021235
                     89,                0.98141,                0.89975,                 1.5388,                0.81318,                0.85597,                  0.884,                0.64589,                 1.0549,                0.82208,                 1.6273,              0.0001982,              0.0001982,              0.0001982
                     90,                0.97636,                0.87533,                 1.5197,                0.78247,                0.79984,                0.86832,                0.64986,                 1.0267,                 0.8594,                 1.6037,             0.00018406,             0.00018406,             0.00018406
                     91,                0.94004,                0.89492,                 1.5689,                0.77586,                0.78542,                0.82324,                0.56731,                 1.3651,                 1.0679,                 1.9718,             0.00016991,             0.00016991,             0.00016991
                     92,                0.86229,                0.73012,                 1.5075,                0.79619,                0.80528,                0.85979,                0.62654,                  1.055,                0.92431,                 1.6545,             0.00015576,             0.00015576,             0.00015576
                     93,                0.83652,                0.72138,                 1.4918,                0.80497,                0.85528,                0.87494,                0.63279,                 1.1271,                 0.8621,                 1.7038,             0.00014161,             0.00014161,             0.00014161
                     94,                0.81962,                0.70412,                  1.472,                0.75042,                0.80723,                0.88753,                0.65682,                  1.051,                0.89491,                 1.6364,             0.00012747,             0.00012747,             0.00012747
                     95,                0.79001,                0.69645,                 1.4494,                 0.8867,                0.82846,                0.88785,                0.63361,                 1.1423,                0.86934,                 1.7169,             0.00011332,             0.00011332,             0.00011332
                     96,                0.81058,                0.65512,                 1.4475,                0.86728,                0.80693,                 0.8774,                0.68961,                 1.0085,                0.79968,                 1.6227,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.75516,                0.63121,                 1.4088,                0.81002,                0.86367,                0.88545,                0.65585,                 1.0837,                0.80333,                  1.679,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.75969,                0.62912,                 1.4028,                0.82536,                0.82451,                0.87213,                0.68334,                  0.996,                0.84336,                 1.6182,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.75126,                0.62845,                 1.4047,                0.79942,                 0.8353,                0.87397,                0.64044,                 1.0922,                0.84373,                 1.6717,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.72435,                0.59876,                 1.3782,                0.80928,                 0.8571,                0.88837,                0.67215,                 1.0076,                0.83451,                 1.6062,             4.2584e-05,             4.2584e-05,             4.2584e-05
